nombre;nif;email;telefono;direccion;provincia
COVICON,S.A.;;;95-4431607;HESPERIDES, 11 BAJO-JACARANDAS, 01213;SEVILLA, ESPAÑA
CRC OBRAS Y SERVICIOS, S.L.;;;000000000;ALBUFERA Nº 321, PL. 1, OF. 3, 02610;MADRID, ESPAÑA
CREA ESPACIOS, S.L.;;claiburg.madrid@gmail.com;000000000;CAMINO DE LA ESTACIÓN, 8, 02685;ALPEDRETE, ESPAÑA
CREACIONES INMOBILIARIAS JAE, S.L.;;;000270382;SEGUNDO FLORES, 3, 03016;MOCEJON, ESPAÑA
CRISGOAN CONSTRUCCIONES, S.L.;;;667561472;INFANTADO, 1, 00918;ALCALA DE HENARES, ESPAÑA
CRISTINA BRAVO PRIETO;;;000000000;SAN AMADO, 11   1º, 00907;LEGANES, ESPAÑA
CRISTINA RODRIGUEZ RODRIGUEZ;;;000000000;VELAZQUEZ, 7, 02112;YELES, ESPAÑA
CRISTOBAL DIAZ, S.L.;;;000441825;LA VIRGEN, 01412;MOHEDAS DE LA JARA, ESPAÑA
CRISTOBAL GARCIA, S.L.;;;670775366;CTRA. ESTACION, S/N, 00079;ALBOX, ESPAÑA
CRUZ LOPEZ E HIJOS, S.L.;;;91-8791434;OLIVO, 10, 00903;RIBATEJADA, ESPAÑA
CTNES. A. DIEGO, S.A.;;;963953085;GRAN VIA MARQUES DE ASTURIAS, 64 - 1º, 01468;VALENCIA, ESPAÑA
CTNES. ALBATANA, S.C.L.;;;967-324041;EL AIRE, 33, 00018;ALBATANA, ESPAÑA
CTNES. ALVAREZ DEL CASAR, S.L.;;;925770867;POLG. IND. VANDOLI, PARC. 37, 01362;TORRIJOS, ESPAÑA
CTNES. ANFEJO, S.A.;;;916333511;PLAZA DE LA CRUZ, 5  1º, 00567;BOADILLA DEL MONTE, ESPAÑA
CTNES. ARBES, S.L.;;;916165419;NUEVA, 36, BAJO A, 00540;VILLAVICIOSA DE ODON, ESPAÑA
CTNES. ARCION, S.A.;;;003318179;PASEO DE LA ALAMEDA, 56, 1ª, 01879;VALENCIA, ESPAÑA
CTNES. ARENAS CASTELLANOS, S.L.;;;000471211;VIÑA, 25, 01565;BRAZATORTAS, ESPAÑA
CTNES. BARSER, S.L.;;;000000000;ISIDRO GOMEZ, 10, 00779;POZULEO DE ALARCON, ESPAÑA
CTNES. BRILLAS AGUSTI, S.A.;;;91-4485602;JOSE ABASCAL, 28  7º, 00581;MADRID, ESPAÑA
CTNES. CAMPOS, C.B.;;;927177543;AVDA. CONSTITUCION, 4, 00258;ARROYOMOLINOS DE LA VERA, ESPAÑA
CTNES. CROSHEN, S.A.;;;954-272729;PTE. CARRERO BLANCO, 18, 01216;SEVILLA, ESPAÑA
CTNES. CUBO, S.A.;;aalarcia@cubosa.com;006125130;VIZCAYA, 4, 01085;LEGANÉS, ESPAÑA
CTNES. DELGADO COCA, S.L.;;;666427176;PLAZA JIMENEZ DIAZ, 9   3º  2, 02165;GETAFE, ESPAÑA
CTNES. DIFRANSE, S.L.;;;916114733;NUBES, 8 - SAN JOSE VALDERAS-2, 00520;LEGANES, ESPAÑA
CTNES. DIGAMON, S.A.;;;959407005;CARRETERA DEL ROCIO, 219, 00440;ALMONTE, ESPAÑA
CTNES. DOS PEÑAS, S.L;;;908264358;MARIA CRISTINA, 11 - LOCAL 1º, 00626;PARLA, ESPAÑA
CTNES. ECAMO, S.L.;;;000000000;DOS DE MAYO, 8, 00364;VILLAFRANCA CABALLER, ESPAÑA
CTNES. FCO. JABARDO, S.L.;;;629063053;GENERAL RICARDOS, 61 3º, 00616;MADRID, ESPAÑA
CTNES. FEARCIL, S.L.;;;91-8977529;REAL, 26, 00526;VALDEMORILLO, ESPAÑA
CTNES. FERVERAL, S.L.;;;918970723;BARBUDO, 13, 00092;LAS NAVAS DEL MARQUES, ESPAÑA
CTNES. FIDENTINO, S.L.;;;916951095;FRAY DIEGO RUIZ, 23, 00501;GETAFE, ESPAÑA
CTNES. GARCIA POMPA, S.L.;;juanjo127@hotmail.es;619206783;CARDENAL CISNEROS,, 01255;ILLESCAS, ESPAÑA
CTNES. GEANSA, S.L.;;geansa@hotmail.es;000511603;BUEN PASTOR, 13, 01242;ILLESCAS, ESPAÑA
CTNES. GENERALES CORREA, S.A.;;;918892955;CTRA. ALCALA-DAGANZO, KM. 1.500, 00618;ALCALA DE HENARES, ESPAÑA
CTNES. GOCAN, S.A.;;;916094526;BRONCE, 21 POLIGONO SAN MILLAN, 00482;MORALEJA DE ENMEDIO, ESPAÑA
CTNES. GREGORIO Y MARIO, S.L.;;;000180312;DESAFIO,  23, 00414;MOTA DEL CUERVO, ESPAÑA
CTNES. GUADARRAMA BERPE, S.L.;;;629929832;VALLE DE LA OROTAVA, 3, 00902;GUADARRAMA, ESPAÑA
CTNES. GUISUL, S.L.;;;956-385078;MIGUEL PEREZ LEAL, 1, 00284;SANLUCAR DE BARRAMEDA, ESPAÑA
CTNES. HERMANOS RIESGO DE ARANDA, S.L.;;;000512377;PORTUGAL, 14*P.I. ALLENDEDUERO, 01997;ARANDA DE DUERO, ESPAÑA
CTNES. HERNANDEZ Y RICO, S.L.;;art_hernandezgar@yahoo.es;000511240;MARTIRES, 24, 01234;ILLESCAS, ESPAÑA
CTNES. INMOBILIARIAS ALGARSA, S.L.;;amelia@noaja.net;000000000;CANOVAS DEL CASTILLO, 40, 02080;JAEN, ESPAÑA
CTNES. J. RUBIO REBATO, S.L.;;;000504864;VERACRUZ, 10  BAJO, 01621;TOMELLOSO, ESPAÑA
CTNES. J. SANCHEZ, S.L.;;;000000000;TOLEDO, 27, 00667;GETAFE, ESPAÑA
CTNES. JOSE LUIS SANCHEZ AGUILERA, S.L.;;;000589590;RAMÓN Y CAJAL, 22, 00362;CAMPO DE CRIPTANA, ESPAÑA
CTNES. JUANFRA, S.L.;;;000850611;FLOR DE RIVERA, 23, 01594;DAIMIEL, ESPAÑA
CTNES. JULIAN ARRIBAS, S.A.;;;000505979;GARCIA PAVON, 15, 01523;TOMELLOSO, ESPAÑA
CTNES. JUSTI BENITO, S.L.;;;000197371;GARAY, 4, 01862;EL TOBOSO, ESPAÑA
CTNES. LA VIA DE BLANCA, S.L.;;;968776198;DEL PILAR, 12, 01167;ESTACION DE BLANCA, ESPAÑA
CTNES. LANDERAS IBARZABAL, S.L.;;;000000000;ARENAL, 32 BAJO, 02251;MIRANDA DE EBRO, ESPAÑA
CTNES. LUIS LINGE, S.L.;;constlinge@gmail.com;006010434;FRANKLIN, ESQ. C/ EDISON, 00499;GETAFE, ESPAÑA
CTNES. MAINA, S.A.;;;916847148;VILLAREJO DE SALVANES, 4, 00538;PERALES DEL RIO, ESPAÑA
CTNES. MANOLO Y MANOLO, S.L.;;info@construccionesmanolo.es;000563372;AVDA. CASTILLA LA MANCHA, 6, 02157;CAMPO DE CRIPTANA, ESPAÑA
CTNES. MANRO, S.L.;;;95-5701170;AP. CORREOS 249 POL.IND.SOLUCAR PLA.57, 01221;SANLUCAR LA MAYOR, ESPAÑA
CTNES. MARIANO LOPEZ NAVARRO, S.A. AQUATERRA SER U;;;000000000;ORURO, 9 PTA. BAJA DERECHA, 02757;MADRID, ESPAÑA
CTNES. MARSEÑA, S.A;;;91-8539163;LOS LLANOS, 3, 00791;MANZANARES EL REAL, ESPAÑA
CTNES. MARTIN RINALDO, S.L.;;;000000000;GOYA, S/N, 01275;RECAS, ESPAÑA
CTNES. MEDIOPAN, S.L.U.;;;000000000;SILERAS, 10, 01629;ARJONA, ESPAÑA
CTNES. MELCHOR BRENES REYES, S.L.;;;627741709;CAMINO DE GUERRERO, S/N, 02805;EL PALMAR-VEJER DE LA FRONTERA, ESPAÑA
CTNES. MONTEJANO, S.A.;;;915087944;FERROCARRIL, 27, 00477;MADRID, ESPAÑA
CTNES. MORRIOS, S.L.;;;95-4860881;VIRGEN DE LA CONSOLACION, 33, 01212;UTRERA, ESPAÑA
CTNES. NEBRIXANAS, S.L.;;;956-473073;FRANCIA, S/Nº   POL.IND. EL TROCADER, 00285;PUERTO REAL, ESPAÑA
CTNES. OLIAS GOMEZ, S.L.;;;008113824;ESCORIAL, 42, 01664;NAVALCARNERO, ESPAÑA
CTNES. OVERCUENCA, S. COOP.;;;969228054;CANONIGO MUÑOZ Y SOLIVA, 12 BAJ, 00400;CUENCA, ESPAÑA
CTNES. PANES ZAMORANO, S.L.;;;617354971;SUR, 5, 01625;RECAS, ESPAÑA
CTNES. PEREIRA ARANDA, S.L.;;;916103434;CONCEPCION, 11 - LA FORTUNA, 00909;LEGANES, ESPAÑA
CTNES. PIGARMA, S.L.;;;91-6343216;ALTOZANO, 4  1 - C- D, 00572;MAJADAHONDA, ESPAÑA
CTNES. PIMER, S.L.;;;91-8159465;REAL DE SAN SEBASTIAN, 13, 00773;BRUNETE, ESPAÑA
CTNES. PLADECO, S.L.;;;91-5629637;GABRIEL LOBO, 6, 00834;MADRID, ESPAÑA
CTNES. PROCESUR, S.L.;;;956381910;AVDA. NAO VICTORIA, EDF. ARROYO SAN JUAN*BAJO 6, 00288;SANLUCAR DE BARRAMEDA, ESPAÑA
CTNES. R. G. LOS ILLESCANOS, S.L.;;;925511050;JAZMIN, 7, 01310;ILLESCAS, ESPAÑA
CTNES. REFCAL SMETAN, S.L.U.;;;000000000;PLAZA MADRES DE MAYO, 10 PORTAL 16 3ºB, 03015;RIVAS VACIAMADRID, ESPAÑA
CTNES. REFORMAS Y ALQUILERES, S.L.;;;91-6165419;TRAVESIA DE SANTA ANA, 10, 00809;VILLAVICIOSA DE ODON, ESPAÑA
CTNES. RODRIGUEZ VISCARRET, S.L.;;;948333109;CARRETERA DE IRUN, KM. 6, 01180;ARRE, ESPAÑA
CTNES. RUBIO E HIJOS, S.A.;;rubiohijos@wanadoo.es;006202120;ZARZUELA, 9, 01101;VALDEOLMOS, ESPAÑA
CTNES. RUFERSA, S.L.;;;000000000;LA PALOMA, 27, 00649;PARLA, ESPAÑA
CTNES. RUITEN, S.A.;;;912666404;SIERRA CONTRAVIESA, 1, 00543;MADRID, ESPAÑA
CTNES. SALDAÑA, S.A;;;914760211;ANTONIO LOPEZ, 249-ED.VERTICE PL. 5, 00476;MADRID, ESPAÑA
CTNES. SALVADOR MARTINEZ SANCHEZ, S.L.;;;000505351;CAMPO, 7  3º  LOCAL 2, 00324;TOMELLOSO, ESPAÑA
CTNES. SAMIFRAN TOMELLOSO, S.L.;;;000501062;SANTA RITA, 3, 01634;TOMELLOSO, ESPAÑA
CTNES. SANCHEZ DOMINGUEZ SANDO, S.A.;;;003026210;JOSE ORTEGA Y GASSET, 01120;MALAGA, ESPAÑA
CTNES. SANCHEZ RUEDA, S.L.;;;006073807;AVDA. DE EUROPA, 14, 00738;FUENLABRADA, ESPAÑA
CTNES. SELMA, S.A.;;;95-4431353;ESPERIDES, 3  1º, 01219;SEVILLA, ESPAÑA
CTNES. SIERRA DE LA CRUZ, S.L.;;;000760944;GUADIANA, 01521;PIEDRABUENA, ESPAÑA
CTNES. TANAD, S.L.;;;915643737;PASEO DE LA HABANA, 18 - 2º, 00521;MADRID, ESPAÑA
CTNES. TECNICAS BALLESTEROS, S.L.;;;000000000;DE LOGROÑO, 102 - 104, 01081;MADRID, ESPAÑA
CTNES. TECNICAS MESAJARAMA, S.L.;;;609 158895;REAL, 2, 02140;PARACUELLOS DEL JARAMA, ESPAÑA
CTNES. TOMAS MONSALVE, S.L.;;;916094348;PLATA, 10 - POL. SAN MILLAN, 00670;MORALEJA DE ENMEDIO, ESPAÑA
CTNES. TORRES TORRES, S.L.;;;000000000;LA SOLEDAD, 20, 01241;BURUJON, ESPAÑA
CTNES. VALMA, C.B.;;;000000000;CAÑIJAR, 9 ** URB. JARABELTRA, 00741;VALDEMORRILLO, ESPAÑA
CTNES. VENANCIO RAMOS, S.L.;;;004766533;PUERTO SAN VICENTE, 2*POL. PRADO-OVERA, 01001;LEGANES, ESPAÑA
CTNES. VICEMO, S.L.;;;91-8410156;LA SALUD, 5, 00766;EL MOLAR, ESPAÑA
CTNES. VOLTOYA, S.L.;;;916340347;CTRA. DE POZUELO, 43, 00487;MAJADAHONDA, ESPAÑA
CTNES. Y ALM. VALERO GUERRERO, S.L.;;;924687068;ALBERQUITAS, 27, 00178;ACEUCHAL, ESPAÑA
CTNES. Y CONTRATAS RODELPI, S.L.;;;000802126;VELADA, 1, 01414;TALAVERA DE LA REINA, ESPAÑA
CTNES. Y CONTRATAS VIOLERO, S.L.;;;000560641;AGUSTIN DE LA FUENTE, 30, 01615;CAMPO DE CRIPTANA, ESPAÑA
CTNES. Y COORD. DE OBRA, S.A.;;;005423947;VENTURA RODRIGUEZ, 00978;MADRID, ESPAÑA
CTNES. Y CTAS. GARCIA PEREZ, .SL.;;;000690067;CORONA DE ARAGON, 34 BAJO, 01665;ZUERA, ESPAÑA
CTNES. Y EDIFICACIONES FICOGAS, S.L.;;;000000000;LEON, 13, 02315;ALALPARDO, ESPAÑA
CTNES. Y ELECTRICIDAD VALENZUELA, S.L.;;;926867005;LOPEZ CRUZ, 2, 00315;VALENZUELA, ESPAÑA
CTNES. Y MAT. GIL GOMEZ, S.L.;;;969-341069;CAMPOROBLES, 18, 00384;CARBONERAS DE GUADAZON, ESPAÑA
CTNES. Y MAT. LOS CASTORES, S.L.;;;926-875898;CERVANTES, 187, 00308;CALZADA DE CALATRAVA, ESPAÑA
CTNES. Y MAT. PAREDES E HIJOS, S.L.;;;000000000;CTRA. DE RETUERTA, KM. 97, 00361;HORCAJO DE LOS MONTES, ESPAÑA
CTNES. Y NAVES SISECAN, S.L.;;;686557270;ALBERCA, 3  ESC.  2, 00930;FUENLABRADA, ESPAÑA
CTNES. Y OBRAS DOMA, S.L.;;;913806280;LUIS  I, 60  PORTAL 9B**1ºIZD, 00923;MADRID, ESPAÑA
CTNES. Y OBRAS JULSA, S.L.;;;653981366;SAN ANDRES APOSTOL, 54, 01366;YEPES, ESPAÑA
CTNES. Y OBRAS MOLIHER, S.L.;;;927-423009;AV. CALVO SOTELO, 41 ENTREPLANTA, 00270;PLASENCIA, ESPAÑA
CTNES. Y OBRAS TITURUS, S.L.;;;000000000;PORTUGAL, 9, 01289;CARRANQUE, ESPAÑA
CTNES. Y PROM. SEBASTIAN DOMINGUEZ E HIJOS,SL;;;005744675;FERNAN CABALLERO, 01226;MAIRENA DE ALCOR, ESPAÑA
CTNES. Y PROM. TERAJOSA, S.L.;;;000000000;ESTAÑO, 2* P. I. POLVORANCA, 01641;LEGANES, ESPAÑA
CTNES. Y PROY. GARCIA Y MORA, S.L.;;;000000000;AVDA. DEL COMERCIO, 13, 01464;ILLESCAS, ESPAÑA
CTNES. Y REF. ALDABE BERRI, S.L.;;;000615153;AVDA. PUIANA, 27 - BAJO TRASERA, 02084;IRUN, ESPAÑA
CTNES. Y REF. ONGURRIANO, S.L.;;;617769930;AVDA. CERRO DE LOS ANGELES, 36, 00891;MADRID, ESPAÑA
CTNES. Y REFORMAS HNOS. CORTES LUQUE, S.L.;;;000000000;DOCTOR MANUEL VILLEGAS, 6   4 - 1, 03099;CORDOBA, ESPAÑA
CTNES. Y REFORMAS MEDKAL, S.L.U.;;;;JUAN DE AUSTRIA, 10, 01901;ALCAZAR DE SAN JUAN, ESPAÑA
CTNES. Y REFORMAS SUAN, S.L.;;;008161675;LA FUENTE, 3  LOCAL, 01051;TORREJON DE VELASCO, ESPAÑA
CTNES. Y REHAB. DE GONZALEZ, S.L.;;;000000000;FRANCISCO SALINAS, 00985;VILLA DEL PRADO, ESPAÑA
CTNES. Y SANEAM. GALINDO, S.L.;;;967-450058;ESTACION, 20, 00017;MINAYA, ESPAÑA
CTNES.BRACOVI, S.L.;;;000000000;GERMAN PEREZ CARRASCO, 46, 00625;MADRID, ESPAÑA
CUAVITA Y FERSA, S.L.;;comercial@cuavita.es;000000000;GENERAL SANJURJO, 19, 02262;MIGUEL ESTEBAN, ESPAÑA
CUBIERTAS PARLA, S.L.;;;008085437;NACIONAL IV, KM. 25,800, 01518;VALDEMORO, ESPAÑA
CUBIERTAS Y AISLANTES RIOJA, S.L.;;info@cubiertasrioja.com;000440700;LENTISCARES, 39, 01597;NAVARRETE, ESPAÑA
CUTESA EMP. CONSTRUCTORA, S.A.;;;954232546;AVION CUATRO VIENTOS, 8, 01215;SEVILLA, ESPAÑA
CYC GESTION DE OBRAS, S.L.;;;000120010;COMUNEROS, 01816;OCAÑA, ESPAÑA
CYES INFRAESTRUCTURAS, S.A.;;ollopis@cyes.es;005140059;BAZAN, 57  - 4ª PLANTA, 01750;ALICANTE, ESPAÑA
CYGNUS LIVING RIVAS, S.L.;;guido.alvarez@livingrivas.com;000000000;ALCAÑIZ, 23, 3º, 02603;MADRID, ESPAÑA
CYMA PROYECTOS Y OBRAS, S.L.;;;005953117;PLAZA NUEVA, 22, 01954;MUTXAMEL, ESPAÑA
CYMAVI, S.L.;;;969300254;ESCOBARES, 8, 00389;SAN CLEMENTE, ESPAÑA
D.M.C. CERAMICAS, S.L.;;;943461117;PASEO UBAMBURU, 2 (POL. 27) MARTUTENE, 00434;SAN SEBASTIAN, ESPAÑA
D.M.S. LA PUEBLA DE MONTALBAN, S.L.;;;000750804;HORTELANA, 02133;LA PUEBLA DE MONTALBAN, ESPAÑA
D.P. CONSTRUCCIONES GARCIA HERMANOS, S.L.;;;005550106;PLAÇA DE BOUS, 8  AT. A, 02775;IBI, ESPAÑA
D.R.D. HABITAT, S.L.;;;91-3158366;PALMERA, 15, 00884;MADRID, ESPAÑA
DACAR PROJECT, S.L.;;;000000000;PLAZA SANTA CATALINA DE LOS DONADOS, 02400;MADRID, ESPAÑA
DAECO, S.L.;;;000000000;PRADILLO DE LA VILLA, 11, 02592;EL ALAMO, ESPAÑA
DAEL CONSTRUCTION;;;000000000;"KAMEZ Rr ""SKENDERBEJ"" PALLATI 1, KATI I P, 03030";TIRANA, ALBANIA
DAINIUS STARKUS IDV;;;000000000;S.DARIAUS IR GIRENO 1A-19, 02324;KUPISKIS LT40130, LITUANIA
DAMI OBRAS Y REFORMAS, S.L.;;gestion@damiobras.com;000208132;ZAMORA, 2 - 2º B, 02424;BURGOS, ESPAÑA
DANIEL DOMINGUEZ GOMEZ;;;000000000;RUBI, 2 BAJO DCHA., 01204;SALAMANCA, ESPAÑA
DANIEL FIDALGO ROBLES;;;005010176;CERAMICA, 01072;MADRID, ESPAÑA
DANIEL GALVAN ESPESO;;;000000000;CASTILLA Y LEON, 7, 01529;LAGUNA DE DUERO, ESPAÑA
DANTEC, S.L.;;;000000000;ISAAC PERAL, 7, NAVE 11, 01911;VALDEMORO, ESPAÑA
DARIO LEIRADO REY, S.L.;;atorresg@hotmail.com;000000000;MORATINES, 01024;MADRID, ESPAÑA
DARIO MARTIN VICENTE;;;000000000;LOS MOLINOS, 11  1ºD, 02882;ESCALONA, ESPAÑA
DAURO PROMOLAND, S.L.;;;007562126;CARRASCO I FORMIGUERA,P.I. PLA D'EN BOE, 00192;MATARÓ, ESPAÑA
DAVID & NUNO MATERIAIS DE CONSTRUÇAO, LDA;;VENDAS@DAVIDNUNO.COM;000312083;RUA DO COUTO, 17, 02030;BRAGANÇA, PORTUGAL
DAVID CUENCA FERNANDEZ;;;000000000;PIZARRO, 27   1º, 00921;LEGANES, ESPAÑA
DAVID GONZALEZ GARCIA;;;000000000;RIO GUAJARAZ, 02563;GUADAMUR, ESPAÑA
DAVID MIGUEL ASPERILLA;;;000000000;NTRA. SEÑORA DE LA ANTIGUA, 93, 02728;VILLARTA DE LOS MONTES, ESPAÑA
DAVID PABLO MATEO;;;000000000;CRISTO REY, 22   2ºB, 02177;VILLARRUBIA DE LOS OJOS, ESPAÑA
DAVID PEROMINGO RUIZ;;;927-554284;SANTA ESCOLASTICA, 3, 00242;NAVALVILLAR DE IBOR, ESPAÑA
DAVIGRES C.L.,S.L.;;;925-279150;ARROYO, 31, 01314;NAMBROCA, ESPAÑA
DC CONST., INGEN. Y GESTION DE OBRAS, S.A.;;codosa@codosa.com;000211287;PORTUETXE, 57, 3º D, 01657;SAN SEBASTIAN-DONOSTI, ESPAÑA
DCM CUENCA HERRANZ, S.L.;;;;PIZARRO, 00988;LEGANES, ESPAÑA
DE LA MORENA PASCUAL, S.L.;;;008433040;MADRID, 01088;PEDREZUELA, ESPAÑA
DEAL PROYECTOS Y CTNES, S.L.;;;916150737;TESILLO, 3, 00872;FUENLABRADA, ESPAÑA
DEALCRI, S.L.;;;001655151;AVDA. SAN ANTONIO DE BENAGEVER, 5, 01809;LA ELIANA, ESPAÑA
DECOR G-3 AISLAMIENTOS, S.L.;;;987618748;POLG. IND. ASTORGA, PARC.112, 00460;ASTORGA, ESPAÑA
DECORAIBI 2013, S.L.;;;006553760;SALAMANCA, 3 POL. IND. L'ALFAC II, 02812;IBI, ESPAÑA
DECORGRES CCA. Y SUM., S.L.;;;008610989;CTRA. TOLEDO, 14**POL. LA COLMENA, 00992;SAN MARTIN DE VALDEIGLESIAS, ESPAÑA
DELGRABA, S.L.;;;918512137;AZUELA, 74  LOCAL 7**POL. IND. P-29, 00912;COLLADO VILLALBA, ESPAÑA
DELTA SHA;;;000000000;AUTOSTRADA TIRANË-DURRËS, KM. 30, 02738;DURRES, ALBANIA
DELUX HOUSE CONSTRUCCIONES, S.L.;;juanma@deluxe-house.es;006890453;LA QUILLA, 11, LOCAL 1, URB. MASCARAT, 02598;ALTEA, ESPAÑA
DEMEBESA INFRAESTRUCTURAS, S.L.;;sonia@demebesa.com;000399179;COSO, 34  4ª PLANTA, 02587;ZARAGOZA, ESPAÑA
DEMETRIO NIETO GARCIA;;;925508313;LA IGLESIA, 3, 01336;PALOMEQUE, ESPAÑA
DEMOLICIONES TECNICAS, S.A.;;central@detecsa.es;003312121;MARIE CURIE, 5  2ª PLANTA EDIF. ALFA, 00926;RIVAS VACIAMADRID, ESPAÑA
DENIZ RUSHANOV GAVAZOV;;;000000000;ARBUESO, 54, 02602;MADRID, ESPAÑA
DEPOSITO AUTOBUSES EMT SANCHINARRO, UTE;;;914059542;AVDA. EUROPA,18 PARQ. EMP. LA MORALEJA, 01722;ALCOBENDAS, ESPAÑA
DES. INMOBILIARIOS MAJE, S.L.;;;006805488;LA RIOJA, 21, 01043;LEGANES, ESPAÑA
DES.OBRAS,REHAB.ING.Y ARQ.EMP.CONST., S.A.;;;007315079;GINZO DE LIMEA, 55, 02003;MADRID, ESPAÑA
DESARROLLOS CONSTRUCTIVOS DE ARAGON, S.L.;;scs@brial.es;000231666;COSO, 66 ENTRESUELO C, 03078;ZARAGOZA, ESPAÑA
DESARROLLOS IBEROCA, S.L.;;loretopatrocinio@gruporoca.net;003142527;ROSARIO ROMERO, 25 LOCAL, 01928;MADRID, ESPAÑA
DESARROLLOS TÉCNICOS ARDOSAN CS, S.L.;;administraciondta@bigmat.es;000397624;NAVAHERMOSA, 7, 02511;MAZARAMBROZ, ESPAÑA
DESARROLLOS Y PROY. IMPACTOS, S.A.;;joseangelmoron@grupoomegasa.com;008084231;GUARDIA CIVIL, 22, 02023;VALDEMORO, ESPAÑA
DESGUACES EL RUBIO, S.L.;;;000111899;VEREDA DE LAS ARBOLEDAS, 02116;ILLESCAS, ESPAÑA
DESMONTES Y FIRMES, S.A.;;;914791899;PASEO DE EXTREMADURA, 175  LOCAL, 00666;MADRID, ESPAÑA
DESPROSA, S.A.;;;007211989;DUBLIN, S/N, 01649;MADRID, ESPAÑA
DETEA, S.A.;;jcperez@detea.com;004460005;ISAAC NEWTON, 4, PLANTA 2ª, 02677;ISLA DE LA CARTUJA, ESPAÑA
DIAZ GARZON E HIJOS, S.L.;;adb.garzon@hotmail.com;003203533;ILIADA, 17 Y 19, 00948;MADRID, ESPAÑA
DICARSUR CERAMICAS, S.L.;;;000279195;CERVANTES, S/Nº, 01356;NAMBROCA, ESPAÑA
DICONA, S.A.;;;948189000;POLIGONO LANDABEN, CALLE E, 01181;PAMPLONA, ESPAÑA
DIDECON, S.A.;;;913318808;PUENTELARRA, 12, 00479;MADRID, ESPAÑA
DIEGO GARCIA Y PONZE;;;968854209;CTRA. DE ZENETA-BENIEL, 158, 01162;ZENETA, ESPAÑA
DIEGO GARCIA-FOGEDA SANCHEZ DE ROJAS;;diego@ceramicasmora.com;000511286;DONANTES DE SANGRE, 03024;ILLESCAS, ESPAÑA
DIEGO MARTIN GABRIEL;;;008668336;ERMITA, 68, 00090;SOTILLO DE LA ADRADA, ESPAÑA
DIEGO MARTINEZ YAÑEZ;;;000780355;MARQUES, 16, 02029;ZALAMEA DE LA SERENA, ESPAÑA
DIRIAMBA, S.L.;;;616494547;SAMARIA, 4, 00778;MADRID, ESPAÑA
DISCOMONTAJE, S.L.;;;000000000;CTRA. MADRID-TOLEDO, KM. 38.300, 01323;ILLESCAS, ESPAÑA
DISEÑO Y DECORACION AMBIENTE CERAMICO, S.L.;;ambienteceramico@ambienteceramico.es;6442298/2815;PARQUE FERIAL, ESQ. AERONAUTICA, S/N, 02226;ALCORCON, ESPAÑA
DISMASA, S.L.;;;000490515;OCAÑA, KM. 33,500, 01352;ALAMEDA DE LA SAGRA, ESPAÑA
DIST. Y EXCLUSIVAS LA MANCHA,S.L.;;;967180475;COSO, 19, 00386;MOTA DEL CUERVO, ESPAÑA
DISTAL ENERGÍA, S.L.;;;000000000;SAN ROMÁN, KM 4, 02840;TALAVERA DE LA REINA, ESPAÑA
DISTRIBUCIONES DE MATERIAL DE GRES, S.L.;;;005110690;EXTREMADURA, 11 POSTERIOR, 00788;ARROYOMOLINOS, ESPAÑA
DISUAPRO, S.L.;;mdmultiservicio@yahoo.com;000000000;PEÑASLISAS, 25, 03031;COBISA, ESPAÑA
DOL, S.A.;;;925-520050;CTRA. DE BOROX, 10, 01292;ESQUIVIAS, ESPAÑA
DOLORES FERNÁNDEZ LORENTE;;;008493054;PLAYA DEL LOURO, PQ. CORUÑA 2 BIS, 01029;COLLADO VILLALBA, ESPAÑA
DOLORES LINARES LUNA;;;000000000;ESTEBAN CARROS, 71, 00698;MADRID, ESPAÑA
DOMINGO RODRIGUEZ CEDILLO;;;925513319;BOQUERON, 15, 01373;ILLESCAS, ESPAÑA
DOMINGO SERNA CONSTRUCCIONES METALICAS, S.L.;;;000000000;LOS HUERTOS, 68, 02951;ORIHUELA, ESPAÑA
DOMINGO SULLCA QUISPE;;;000000000;AVDA. DE PORTUGAL, 67   2ºIZ., 02150;MADRID, ESPAÑA
DOMINIOS ELECTRICOS, S.A.;;;925532450;P.I. ARBOLEDAS II - C/. TEJO, 8, 00933;ILLESCAS, ESPAÑA
DONATO LASA, S.A.;;;005560228;AVDA. DE BRUSELAS, 15  PLTA. 4, 01103;ALCOBENDAS, ESPAÑA
DORIA EMPRESA CONSTRUCTORA, S.A.;;antonioluna@doriaec.es;004405251;DR. GONZALEZ CARABALLO, 1, PLA-1 MOD.3, 02103;SEVILLA, ESPAÑA
DORIN HATEGAN;;;000000000;CRISTO DE LA VICTORIA, 17, 02259;MADRID, ESPAÑA
DRAGADOS OBRAS Y PROYECTOS, S.A. (nulo);;;913842200;AVDA. DE TENERIFE, 4  Y  6, 00771;SAN SEBASTIAN DE LOS REYES, ESPAÑA
DRAGADOS, S.A.;;;003439300;AVDA. DEL CAMINO DE SANTIAGO, 50, 00614;MADRID, ESPAÑA
DRIGUEZ SANZ, S.L.;;;000540104;AVDA. DE MADRID, 14  BIS, 01481;LAGUNA DE DUERO, ESPAÑA
DUFISA CTNES., S.L.;;;918531129;CALLE DE LA IGLESIA, S/N, 00528;NAVACERRADA, ESPAÑA
DUMITRU BLANARU;;;000000000;DOCTOR GONZALO SIERRA, 1 PISO PBJ PUER, 02760;MEJORADA DEL CAMPO, ESPAÑA
